id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;M;claster
109;0.06666666666666667;0.09291466637697164;0.8220092412650971;0.7885963393976013;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.125;0.0;0;0;0;0.125;0
110;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
111;0.06666666666666667;0.08396645890133098;0.6645558797435867;0.7131671096599913;0.0;0.75;0.0;0.0;0.13333333333333333;0.21951219513265915;0.0;0.0;0.0;0;0;0;0.0;0
112;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
113;0.06666666666666667;0.06607066286103024;0.40441554037007316;0.5885449040065487;0.5;1.0;0.125;0.15873015873015872;0.13333333333333333;0.2926829268435455;0.0;0.0;0.0;0;0;0;0.0;0
114;0.06666666666666667;0.08581890789083983;0.5481773064876418;0.6574150702887143;0.333333333;0.333333333;0.5;0.4232804231746032;0.26666666666666666;0.19512195118024986;0.25;0.0;0.0;0;0;0;0.0625;0
115;0.06666666666666667;0.09291466637697164;0.8220092412650971;0.7885963393976013;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.0;0.0;0.0;0;0;0;0.0;0
116;0.06666666666666667;0.10476431492705325;0.9703348745710526;0.8596528601228699;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
117;0.06666666666666667;0.31188267706509865;0.5687147016472945;0.16271032274539232;0.5;0.5;0.125;0.15873015873015872;0.13333333333333333;0.14634146342177276;0.666666667;0.125;0.0;0;0;0;0.29166666674999997;1
118;0.06666666666666667;0.05373881641321136;0.37931428007577317;0.5765199543802793;1.0;0.0;0.125;0.31746031746031744;0.0;0.0;0.0;0.125;0.0;0;0;0;0.125;0
119;0.06666666666666667;0.05893714550013284;0.3553539850382653;0.5650415933332517;0.666666667;0.5;0.25;0.4232804231746032;0.06666666666666667;0.07317073171088638;0.0;0.229166666625;0.0;0;0;0;0.229166666625;2
120;0.06666666666666667;0.08735278013848191;0.7695247881091736;0.7634532628604432;0.0;0.5;0.0;0.0;0.06666666666666667;0.07317073171088638;0.5;0.0;0.0;0;0;0;0.125;0
121;0.06666666666666667;0.09194748493798698;0.8220092412650971;0.7885963393976013;0.25;0.0;0.125;0.07936507936507936;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
